PLAYER,POS,LANE AGILITY TIME,SHUTTLE RUN,THREE QUARTER SPRINT,STANDING VERTICAL LEAP,MAX VERTICAL LEAP,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,YEAR
Shabazz Muhammad,SF-SG,10.99,2.93,3.32,29.5,37,9.00%,9,10,6' 4.75'',6' 6.25'',8' 8.5'',221.8,6' 11'',2013
Shane Larkin,PG,10.64,3.03,3.08,34.5,44,3.80%,7.5,8.75,5' 10.25'',5' 11.5'',7' 5.5'',170.8,5' 10.75'',2013
Solomon Hill,SF,10.77,2.91,3.19,29.5,37.5,7.60%,9,10.5,6' 5.5'',6' 7'',8' 7'',226,6' 9'',2013
Steven Adams,C,11.85,3.02,3.4,28.5,33,6.65%,9.5,11,6' 10.75'',7' 0'',9' 1.5'',254.5,7' 4.5'',2013
Tim Hardaway Jr.,SG,10.68,2.93,3.25,31.5,37.5,6.05%,8,9.25,6' 4.5'',6' 6.25'',8' 5'',199.4,6' 7'',2013
Tony Mitchell,PF-SF,11.82,3.25,3.52,33.5,38,5.55%,9,10,6' 7.5'',6' 8.75'',8' 10.5'',236.4,7' 2.5'',2013
Tony Snell,SF-SG,11.36,2.84,3.25,30,36.5,4.85%,9,9.5,6' 6'',6' 7.25'',8' 9.5'',198.2,6' 11.5'',2013
Trevor Mbakwe,PF,12.01,2.97,3.32,30,36.5,5.90%,9.5,11.5,6' 6.75'',6' 8'',8' 10.5'',235.8,7' 4'',2013
Trey Burke,PG,11.2,3.01,3.16,29.5,36.5,6.90%,8.25,8.75,5' 11.75'',6' 1.25'',8' 1.5'',187,6' 5.5'',2013
Vander Blue,SG,10.4,2.7,3.14,28,37.5,4.60%,8.5,9.5,6' 3.5'',6' 5.25'',8' 4.5'',197.4,6' 6'',2013
Victor Oladipo,SG,10.69,3.14,3.25,33,42,6.55%,8.75,9.25,6' 3.25'',6' 4.25'',8' 4.5'',213.2,6' 9.25'',2013
Will Clyburn,SF-SG,11.68,3.12,3.38,28,34.5,6.85%,9.25,10.25,6' 5.75'',6' 7'',8' 9'',210.4,7' 0.25'',2013
Andre Drummond,C,10.83,DNE,3.39,31.5,33.5,7.50%,9.5,9.5,6' 9.75'',6' 11.75'',9' 1.5'',278.6,7' 6.25'',2012
Andrew Nicholson,PF,11.89,DNE,3.67,28.5,30.5,7.60%,10,10.75,6' 8.5'',6' 9.5'',8' 11'',234,7' 4'',2012
Anthony Davis,PF-C,-,DNE,-,-,-,7.90%,9,8.5,6' 9.25'',6' 10.5'',9' 0'',221.8,7' 5.5'',2012
Arnett Moultrie,PF,11.32,DNE,3.22,33.5,37.5,7.70%,9.25,9.25,6' 9.5'',6' 10.75'',8' 10.5'',232.8,7' 2.25'',2012
Austin Rivers,SG-PG,11.54,DNE,3.32,32.5,37.5,6.20%,8.5,10,6' 3.5'',6' 5'',8' 0.5'',202.8,6' 7.25'',2012
Bernard James,PF,11.84,DNE,3.4,30,32.5,5.00%,9,9.25,6' 8.75'',6' 10'',9' 0.5'',229.8,7' 3'',2012
Bradley Beal,SG,10.95,DNE,3.28,33,39,6.00%,8.5,9,6' 3.25'',6' 4.75'',8' 4'',201.8,6' 8'',2012
Damian Lillard,PG,11.15,DNE,3.34,34.5,39.5,5.90%,8.75,9.75,6' 1.75'',6' 2.75'',7' 11.5'',188.8,6' 7.75'',2012
Darius Johnson-Odom,SG,10.76,DNE,3.21,33.5,41.5,7.00%,8.75,8.75,6' 1.5'',6' 3'',8' 0'',212,6' 7'',2012
Darius Miller,SF-SG,11.34,DNE,3.31,33,37,7.50%,8.5,8.75,6' 6'',6' 7.5'',8' 5'',233.4,6' 9'',2012
Dion Waiters,SG,-,DNE,-,-,-,8.50%,8.5,9.5,6' 2.5'',6' 4'',8' 2'',221,6' 7.25'',2012
Doron Lamb,SG-PG,11.12,DNE,3.41,29,33.5,6.70%,8.5,8.75,6' 3.25'',6' 4.75'',8' 2.5'',199.4,6' 6.75'',2012
Draymond Green,PF-SF,11.01,DNE,3.4,28,33,11.30%,9,9.5,6' 5.75'',6' 7.5'',8' 9'',235.6,7' 1.25'',2012
Drew Gordon,PF,11.35,DNE,3.49,29,34,9.10%,8.5,9.75,6' 8'',6' 8.75'',8' 7.5'',239,6' 11.5'',2012
Fab Melo,C,12.14,DNE,3.44,29.5,31,9.20%,9,10,6' 10.75'',7' 0'',9' 2'',255,7' 2.5'',2012
Festus Ezeli,C-PF,12.35,DNE,3.29,34,33.5,5.50%,9,10.75,6' 9.75'',6' 11.5'',9' 0'',264.2,7' 5.75'',2012
Harrison Barnes,SF-SG,10.93,DNE,3.16,38,39.5,9.60%,9,8.5,6' 7'',6' 8'',8' 5.5'',227.8,6' 11.25'',2012
Henry Sims,C-PF,12.33,DNE,3.44,26.5,29.5,7.70%,9.25,10,6' 10'',6' 11.75'',9' 0'',241.2,7' 4'',2012
Hollis Thompson,SF,11.72,DNE,3.38,28.5,36.5,6.00%,8.25,9.75,6' 6.75'',6' 8'',8' 6.5'',206,6' 9.5'',2012
J'Covan Brown,PG,11.68,DNE,3.47,26,29.5,12.50%,7.75,8.25,6' 1'',6' 2.25'',8' 0'',202.4,6' 5.25'',2012
JaMychal Green,PF,10.63,DNE,3.38,29.5,32.5,9.80%,9.25,9.25,6' 8'',6' 9'',8' 10.5'',217.4,7' 2.25'',2012
Jae Crowder,SF,11.45,DNE,3.37,31,34.5,9.00%,9.5,10.5,6' 4.75'',6' 6.5'',8' 3.5'',241.2,6' 9.25'',2012
Jared Cunningham,SG-PG,-,DNE,-,-,-,3.60%,8.25,9,6' 3.5'',6' 5'',8' 2'',187.6,6' 6.5'',2012
Jared Sullinger,PF,12.77,DNE,3.81,29.5,31,10.70%,9.25,9.75,6' 7.75'',6' 9'',8' 9.5'',268.2,7' 1.25'',2012
Jeff Taylor,SF-SG,10.87,DNE,3.29,33.5,40,4.20%,8.25,9.75,6' 6'',6' 7.25'',8' 5.5'',212.8,6' 6.25'',2012
Jeremy Lamb,SG,10.98,DNE,3.25,31.5,38,4.50%,8.75,9.25,6' 4'',6' 5.25'',8' 6'',179.2,6' 11'',2012
John Henson,PF,-,DNE,-,25.5,30,8.60%,9.25,10,6' 9'',6' 10.5'',9' 4'',216,7' 5'',2012
John Jenkins,SG,11.36,DNE,3.37,30.5,36.5,7.10%,9,9,6' 3.25'',6' 4.25'',8' 2'',212,6' 8.5'',2012
Jordan Taylor,PG,10.57,DNE,3.19,33,36.5,5.50%,8.25,9.5,6' 1'',6' 2'',7' 8.5'',192.8,6' 3'',2012
Kendall Marshall,PG,12.03,DNE,3.23,31,37,7.80%,8.5,9,6' 3.25'',6' 4.25'',8' 0'',198.4,6' 5.5'',2012
Kevin Jones,PF,11.94,DNE,3.6,27.5,32.5,11.20%,9,7.75,6' 6.25'',6' 7.5'',8' 9'',251.2,7' 1.5'',2012
Kevin Murphy,SG,10.97,DNE,3.42,31,36.5,5.80%,8.5,8.5,6' 5'',6' 6.25'',8' 3'',194,6' 6.75'',2012
Khris Middleton,SF,11.45,DNE,3.47,28,31,7.80%,9,9,6' 6.75'',6' 8.25'',8' 7'',216.2,6' 10.75'',2012
Kim English,SG,10.59,DNE,3.33,29,36.5,4.30%,8.5,8.75,6' 4.5'',6' 5.75'',8' 2'',192,6' 6.5'',2012
Kris Joseph,SG,-,DNE,3.46,28.5,35,8.60%,9,9,6' 6'',6' 7'',8' 8'',215,6' 11'',2012
Kyle O'Quinn,PF,11.65,DNE,3.53,31.5,31.5,8.00%,9.5,10,6' 8.5'',6' 10'',8' 10.5'',240.8,7' 4.75'',2012
Marcus Denmon,SG,10.82,DNE,3.19,33.5,40,6.60%,8.25,9.75,6' 2.25'',6' 3.25'',7' 10.5'',188.2,6' 5'',2012
Marquis Teague,PG,10.65,DNE,3.19,32.5,40.5,6.30%,8.25,7.75,6' 1'',6' 2'',8' 0.5'',179.8,6' 7.25'',2012
Maurice Harkless,SF,10.87,DNE,3.25,32.5,37,5.30%,9.25,10.25,6' 7.25'',6' 8.75'',8' 6.5'',206.6,7' 0'',2012
Meyers Leonard,C,11.34,DNE,3.41,30,32.5,5.70%,9.25,11,6' 11.75'',7' 1.25'',9' 0'',249.8,7' 3'',2012
Michael Kidd-Gilchrist,SF,11.77,DNE,3.18,32,35.5,7.00%,9,10.25,6' 5.75'',6' 7.5'',8' 8.5'',232.8,7' 0'',2012
Mike Scott,PF,11.59,DNE,3.44,27,32.5,10.60%,8.5,9,6' 7.25'',6' 8.75'',8' 8'',240.8,6' 10.75'',2012
Miles Plumlee,PF-C,10.64,DNE,3.36,34,40.5,11.40%,9.25,9,6' 10.5'',6' 11.75'',8' 9.5'',252.4,7' 0.75'',2012
Orlando Johnson,SG,10.98,DNE,3.25,32,39.5,7.00%,9,9.5,6' 3.75'',6' 5.25'',8' 3'',223.8,6' 11.25'',2012
Perry Jones,PF-SF,11.31,DNE,3.19,33,38.5,4.60%,9.25,9.5,6' 10.25'',6' 11.25'',8' 11'',233.8,7' 1.75'',2012
Quincy Acy,PF,10.48,DNE,3.28,32,37,7.10%,9.5,11,6' 6.5'',6' 7.75'',8' 10.5'',223.8,7' 2.75'',2012
Quincy Miller,SF,11.05,DNE,3.48,30.5,36,7.80%,9.25,10.25,6' 8.75'',6' 10'',8' 9'',218.7,7' 1.25'',2012
Robbie Hummel,SF,11.56,DNE,3.41,27.5,30,9.40%,8.5,9.5,6' 7.25'',6' 8.5'',8' 6'',218,6' 8.5'',2012
Royce White,PF,-,DNE,-,-,-,10.60%,9.5,11.5,6' 7'',6' 8'',8' 8.5'',260.6,7' 0'',2012
Scott Machado,PG,11.26,DNE,3.3,27,32.5,5.80%,8.5,9.5,6' 1'',6' 2'',7' 10.5'',205.8,6' 4'',2012
Terrence Jones,PF-SF,11.57,DNE,3.4,29.5,34.5,7.70%,9,10,6' 8.25'',6' 9.5'',8' 11'',252,7' 2.25'',2012
Terrence Ross,SG-SF,11.78,DNE,3.28,31,37.5,3.20%,8.75,10.25,6' 6'',6' 7'',8' 4.5'',196.6,6' 7.25'',2012
Thomas Robinson,PF,11.96,DNE,3.17,28.5,35.5,5.00%,9.75,10.5,6' 7.75'',6' 8.75'',8' 10'',244.2,7' 3.25'',2012
Tomas Satoransky,PG-SG,-,DNE,-,-,-,5.20%,8.5,9.5,6' 6.5'',6' 7.5'',8' 4'',200.6,6' 7.25'',2012
Tony Mitchell,SG,11.72,DNE,3.47,31.5,40,5.70%,8.5,10,6' 5.25'',6' 6.25'',8' 4'',216.4,6' 10'',2012
Tony Wroten,PG,10.75,DNE,3.24,30,35.5,5.20%,8,9,6' 4.75'',6' 6'',8' 5'',203.2,6' 9'',2012
Tu Holloway,PG,11,DNE,3.42,28,35,8.50%,8.75,10,5' 10.5'',5' 11.75'',7' 10.5'',186.8,6' 5.5'',2012
Tyler Zeller,PF-C,11.13,DNE,3.4,30,34,6.40%,9,9.75,6' 11.25'',7' 0.5'',8' 8.5'',247.4,7' 0'',2012
Tyshawn Taylor,PG,11.48,DNE,3.2,32,36.5,4.20%,8.75,8.75,6' 2.75'',6' 4'',8' 1.5'',177,6' 6.25'',2012
Will Barton,SG-SF,12.5,DNE,3.6,30,34,4.10%,9,9.5,6' 5'',6' 6'',8' 6.5'',174.4,6' 9.75'',2012
William Buford,SG-SF,11.4,DNE,3.43,27.5,32.5,11.30%,8.75,10,6' 4'',6' 5'',8' 6'',214.6,6' 9.5'',2012
Alec Burks,SG,10.96,DNE,3.17,29,36,5.10%,9,8.25,6' 5'',6' 6'',8' 7.5'',192.6,6' 10'',2011
Andrew Goudelock,PG,10.33,DNE,3.1,32.5,37,9.90%,8.25,9.25,6' 1.25'',6' 2.75'',8' 0.5'',197.6,6' 4.25'',2011
Brandon Knight,PG,10.74,DNE,3.07,29,37.5,4.20%,8.25,9.5,6' 1.5'',6' 3.25'',8' 2.5'',176.8,6' 6.75'',2011
Chandler Parsons,SF,11.05,DNE,3.29,25.5,31.5,7.00%,8.25,10,6' 8.75'',6' 9.75'',8' 8.5'',221.2,6' 9.5'',2011
Charles Jenkins,PG-SG,11.68,DNE,3.18,29.5,34,4.30%,8.5,9,6' 1.5'',6' 3.25'',8' 0.5'',216.4,6' 7.5'',2011
Chris Singleton,SF,11.33,DNE,3.09,30.5,37.5,7.40%,9.25,10,6' 7.75'',6' 9'',8' 7.5'',230.2,7' 1'',2011
Cory Joseph,PG,10.75,DNE,3.27,27.5,35,9.70%,8.5,10.5,6' 2'',6' 3.25'',8' 3'',186.2,6' 5.5'',2011
Darius Morris,PG-SG,11,DNE,3.2,24.5,32,5.30%,8.75,10,6' 3.25'',6' 5.25'',8' 6'',190,6' 7.5'',2011
David Lighty,SG,10.81,DNE,3.25,28.5,33,6.50%,9,10,6' 4.75'',6' 6.5'',8' 5'',216.2,6' 8'',2011
DeAndre Liggins,SF-SG,-,DNE,3.33,27,31,5.00%,8.75,10,6' 5'',6' 6.25'',8' 7.5'',202.2,6' 11'',2011
Demetri McCamey,PG,11.55,DNE,3.19,27,33,6.10%,8.5,9,6' 1.75'',6' 3.25'',8' 3.5'',204,6' 6.25'',2011
Derrick Williams,PF-SF,11.03,DNE,3.23,29,34.5,10.80%,9,9.75,6' 7.25'',6' 8.75'',9' 0'',248.4,7' 1.5'',2011
E'Twaun Moore,SG,11.12,DNE,3.31,32,34.5,7.60%,9,10,6' 2.5'',6' 4'',8' 3.5'',191.4,6' 9.5'',2011
Enes Kanter,PF-C,11.3,DNE,3.26,26,32.5,5.90%,9.5,10.75,6' 9.75'',6' 11.25'',9' 1.5'',259.2,7' 1.5'',2011
Gregory Smith,PF-C,12.43,DNE,3.36,29.5,36,7.40%,9.75,12,6' 8'',6' 9.25'',8' 10.5'',252.8,7' 2.5'',2011
Iman Shumpert,PG-SG,11.1,DNE,3.18,36.5,42,6.50%,9,9,6' 4.25'',6' 5.5'',8' 3.5'',221.8,6' 9.5'',2011
Isaiah Thomas,PG,10.49,DNE,3.14,31.5,40,6.70%,8.25,9,5' 8.75'',5' 10.25'',7' 7.5'',186,6' 1.75'',2011
JaJuan Johnson,PF,11.21,DNE,3.14,33.5,38,7.50%,9,10,6' 9'',6' 10'',8' 11.5'',219.8,7' 2'',2011
James Fredette,PG,10.42,DNE,3.21,28,33,7.70%,8,8.5,6' 0.75'',6' 2.5'',8' 0.5'',196,6' 4.5'',2011
Jamie Skeen,PF,12.43,DNE,3.46,26,30.5,9.80%,8.5,8.5,6' 6.5'',6' 8'',8' 10.5'',241.6,7' 1.25'',2011
Jereme Richmond,SF,11.74,DNE,3.02,27,33.5,5.50%,8.75,9.5,6' 6'',6' 7.25'',8' 10.5'',207.2,6' 10.25'',2011
Jeremy Tyler,PF-C,11.26,DNE,3.29,28,33.5,13.40%,9.25,9,6' 9'',6' 10.5'',9' 2.5'',262.4,7' 5'',2011
Jimmy Butler,SF,11.12,DNE,3.15,32,39,5.40%,9,9,6' 6'',6' 7.75'',8' 5.5'',222.2,6' 7.5'',2011
Jon Diebler,SG,10.94,DNE,3.37,28,35,8.50%,8.25,8.25,6' 5.25'',6' 6.5'',8' 3'',196.6,6' 6'',2011
Jon Leuer,PF,10.82,DNE,3.36,29.5,36.5,5.40%,8.75,9.75,6' 10'',6' 11.5'',8' 9.5'',223.2,7' 0'',2011
Jordan Hamilton,SF,11.47,DNE,3.3,25,32,9.80%,9,9.25,6' 6.75'',6' 8.5'',8' 8'',228.4,6' 9.5'',2011
Jordan Williams,PF,12.74,DNE,3.45,25,30.5,12.10%,9.25,10,6' 7.75'',6' 9'',8' 10.5'',247.2,7' 0.25'',2011
Josh Selby,SG-PG,11.13,DNE,3.2,29.5,42,7.90%,8.5,9,6' 1.75'',6' 3'',8' 2'',194.6,6' 5.25'',2011
Justin Harper,PF-SF,11.92,DNE,3.3,28.5,33,4.00%,9,9.25,6' 8'',6' 8.75'',8' 10'',228,6' 11.75'',2011
Kawhi Leonard,SF,11.45,DNE,3.15,25.5,32,5.40%,9.75,11.25,6' 6'',6' 7'',8' 10'',227.4,7' 3'',2011
Keith Benson,C-PF,11.88,DNE,3.35,31.5,36,6.10%,9.5,11,6' 10'',6' 11'',9' 1.5'',217,7' 3.75'',2011
Kemba Walker,PG,10.87,DNE,3.16,32,39.5,5.90%,8,9,5' 11.5'',6' 1'',7' 7.5'',184,6' 3.5'',2011
Kenneth Faried,PF,11.35,DNE,3.26,30.5,35,6.30%,8.5,10.25,6' 6'',6' 7.5'',9' 0'',224.6,7' 0'',2011
Klay Thompson,SG,10.99,DNE,3.24,26.5,31.5,8.00%,8.75,9.25,6' 5.75'',6' 7.25'',8' 7.5'',205.6,6' 9'',2011
Kyle Singler,SF,11.22,DNE,3.21,23,30,10.00%,8.25,8.75,6' 7.5'',6' 8.5'',8' 10'',228,6' 10.1'',2011
Kyrie Irving,PG,-,DNE,-,-,-,10.20%,8.25,9.25,6' 1.75'',6' 3.5'',8' 3'',191,6' 4'',2011
LaceDarius Dunn,SG,11.45,DNE,3.27,26.5,31,5.50%,9,10.25,6' 3'',6' 4'',8' 5'',187.8,6' 6.25'',2011
Malcolm Lee,SG,11.2,DNE,3.09,30,35.5,5.90%,8.5,9.5,6' 4'',6' 5.5'',8' 5.5'',198.2,6' 9.75'',2011
Malcolm Thomas,PF,11.31,DNE,3.29,32,36.5,5.90%,9.5,10.5,6' 7.5'',6' 8.75'',8' 11.5'',223,7' 0.5'',2011
Marcus Morris,PF-SF,-,DNE,3.15,29,33,8.00%,8.25,8.5,6' 7'',6' 8.75'',8' 9.5'',229.6,6' 10'',2011
Markieff Morris,PF,-,DNE,3.4,27,31.5,10.20%,8.5,8.25,6' 7.75'',6' 9.25'',8' 10.5'',240.8,6' 10.75'',2011
Marshon Brooks,SG,10.74,DNE,3.09,34,38.5,5.20%,9,10.5,6' 4.25'',6' 5.25'',8' 5'',194.6,7' 1'',2011
Michael Dunigan,PF-C,11.85,DNE,3.27,29.5,34.5,8.00%,9,10.75,6' 8.5'',6' 10'',8' 11.5'',237.6,7' 3.25'',2011
Nikola Vucevic,PF-C,12.02,DNE,3.27,23.5,25,6.10%,9.25,10.25,6' 10.25'',6' 11.75'',9' 4.5'',259.8,7' 4.5'',2011
Nolan Smith,PG,11.05,DNE,3.17,28.5,34,5.60%,8.5,9.25,6' 1.5'',6' 3.5'',8' 3'',187.6,6' 5.5'',2011
Norris Cole,PG,10.07,DNE,3.22,29.5,38.5,4.70%,8.5,9.5,6' 0.25'',6' 1.75'',7' 11.5'',174.4,6' 2.25'',2011
Rick Jackson,PF,11.51,DNE,3.26,28.5,33,8.30%,8.75,9.5,6' 8.25'',6' 9.25'',8' 10.5'',241.8,7' 2'',2011
Scotty Hopson,SG,10.47,DNE,3.18,32.5,36,4.80%,8.5,10,6' 5.75'',6' 6.5'',8' 7.5'',204.6,6' 10.5'',2011
Shelvin Mack,PG,11.23,DNE,3.18,32,39,7.10%,8.25,9.25,6' 1'',6' 2.5'',8' 0.5'',209,6' 7.5'',2011
Tobias Harris,SF-PF,10.96,DNE,3.17,31.5,37.5,8.40%,8.75,9,6' 6.5'',6' 7.75'',8' 7.5'',222.8,6' 11'',2011
Travis Leslie,SG,11,DNE,3.13,33,40.5,8.10%,8.75,9.25,6' 3'',6' 4.25'',8' 7'',205,6' 10.5'',2011
Trey Thompkins,PF,11.72,DNE,3.41,27.5,30.5,15.50%,9.25,9.75,6' 8.5'',6' 9.75'',8' 11.5'',239,7' 1'',2011
Tristan Thompson,PF,10.92,DNE,3.26,30,35,6.20%,8.75,9.25,6' 7.5'',6' 8.75'',9' 0.5'',227.4,7' 1.25'',2011
Tyler Honeycutt,SF,11.68,DNE,3.07,30,37,5.30%,8.5,9.5,6' 6.75'',6' 8.25'',8' 9'',186.8,6' 9'',2011
Al-Farouq Aminu,SF,11.29,DNE,3.3,27,33.5,8.20%,9.5,9.5,6' 7.25'',6' 8.5'',9' 0.5'',216,7' 3.25'',2010
Andy Rautins,SG,11.27,DNE,3.49,23.5,30.5,6.20%,8,9.75,6' 4.25'',6' 5'',8' 4'',191.6,6' 7'',2010
Armon Johnson,PG-SG,11.25,DNE,3.19,31.5,38.5,5.60%,8.25,9.25,6' 2'',6' 3.25'',8' 3.5'',195.2,6' 8'',2010
Artsiom Parakhouski,C,12.07,DNE,3.33,25.5,26.5,6.00%,9,10.5,6' 10.25'',6' 11.75'',9' 1.5'',268.2,7' 1'',2010
Avery Bradley,SG-PG,11.47,DNE,3.14,31.5,37.5,4.00%,8.25,9.5,6' 2'',6' 3.25'',8' 2.5'',180.4,6' 7.25'',2010
Charles Garcia,SF,11.65,DNE,3.23,24.5,30.5,7.00%,8.75,9,6' 8.25'',6' 9.25'',8' 11.5'',231.6,7' 1.75'',2010
Cole Aldrich,C,11.48,DNE,3.35,23,28,8.50%,9,9.25,6' 9'',6' 11.25'',9' 3.5'',236,7' 4.75'',2010
Craig Brackins,PF-SF,11.65,DNE,3.39,26,35,7.90%,9.5,11.25,6' 8.5'',6' 9.75'',9' 1'',229,7' 0'',2010
Damion James,SF,10.89,DNE,3.2,29,33,9.60%,9.25,8.5,6' 6.25'',6' 7.75'',8' 11'',226.6,7' 0.75'',2010
Daniel Orton,C,12.32,DNE,3.39,24,30.5,13.80%,8.5,9.75,6' 8.75'',6' 9.5'',9' 2.5'',269.2,7' 4.25'',2010
Darington Hobson,SG-SF,11.68,DNE,3.25,29,34,6.20%,8.25,9,6' 5.25'',6' 6.5'',8' 8.5'',203.6,6' 9.25'',2010
DeMarcus Cousins,C,11.4,DNE,3.55,23.5,27.5,16.40%,9.25,10,6' 9.5'',6' 10.75'',9' 5'',291.8,7' 5.75'',2010
Derrick Caracter,PF,12.78,DNE,3.61,25,30.5,12.80%,9,10.25,6' 8.25'',6' 9.5'',8' 11.5'',280,7' 0.25'',2010
Derrick Favors,PF,11.74,DNE,3.25,31.5,35.5,6.50%,8.75,9.25,6' 8.75'',6' 10.25'',9' 2'',245.2,7' 4'',2010
Devin Ebanks,SF,11.69,DNE,3.44,23.5,32,7.90%,8.25,9,6' 7'',6' 8.25'',8' 11.5'',207.8,7' 0.25'',2010
Dexter Pittman,PF-C,-,DNE,-,-,-,20.80%,10.25,10.5,6' 9.5'',6' 11.5'',9' 3'',302.6,7' 6'',2010
Dominique Jones,SG,10.88,DNE,3.31,26,32.5,5.90%,9,10.25,6' 3.25'',6' 5'',8' 5'',216,6' 9.25'',2010
Ed Davis,PF,11.7,DNE,3.21,31,36,10.00%,9.25,10,6' 9'',6' 9.75'',9' 0'',226.6,7' 0'',2010
Ekpe Udoh,PF,11.15,DNE,3.29,31,33.5,8.00%,9.5,8.75,6' 8.75'',6' 9.75'',8' 10.5'',237.4,7' 4.5'',2010
Eric Bledsoe,PG,-,DNE,-,-,-,5.60%,8.5,9.75,6' 0.25'',6' 1.5'',8' 2'',191.6,6' 7.5'',2010
Evan Turner,SG,11.06,DNE,3.27,27.5,34.5,8.60%,8.75,9.5,6' 5.75'',6' 7'',8' 7.5'',213.8,6' 8'',2010
Gani Lawal,PF,11.61,DNE,3.24,27,31.5,6.30%,8.5,10,6' 7.5'',6' 9'',8' 11.5'',233.4,7' 0'',2010
Gordon Hayward,SF,11.73,DNE,3.22,30.5,34.5,6.90%,8.5,9.25,6' 6.75'',6' 8'',8' 7'',211,6' 7.75'',2010
Greg Monroe,PF-C,12.1,DNE,3.35,25,29,11.20%,8.75,9.5,6' 9.75'',6' 11'',9' 0.5'',246.6,7' 2.25'',2010
Greivis Vasquez,PG-SG,-,DNE,-,-,-,8.60%,7.75,9.25,6' 5'',6' 6.5'',8' 5'',210.8,6' 7'',2010
Hassan Whiteside,C-PF,11.83,DNE,3.54,27,31.5,5.50%,8.25,10.25,6' 10.5'',6' 11.5'',9' 5'',226.6,7' 7'',2010
James Anderson,SF,11.86,DNE,3.19,30,35.5,7.90%,8.5,7.25,6' 4.75'',6' 5.75'',8' 8'',207.6,6' 8.5'',2010
Jarvis Varnado,PF-C,11.61,DNE,3.37,29.5,32.5,9.50%,9.25,9.5,6' 8.25'',6' 10'',9' 1.5'',210.2,7' 3.5'',2010
Jerome Jordan,C,-,DNE,-,-,-,6.90%,9,10.25,6' 11.5'',7' 0.75'',9' 5'',244.2,7' 5.25'',2010
John Wall,PG,10.84,DNE,3.14,30,39,5.60%,8.25,9.5,6' 2.75'',6' 4'',8' 5.5'',195.6,6' 9.25'',2010
Jon Scheyer,PG-SG,-,DNE,-,-,-,5.40%,7.75,9.5,6' 4.75'',6' 6'',8' 3'',180,6' 3.25'',2010
Jordan Crawford,SG,11.03,DNE,3.37,31.5,34.5,4.90%,8,9,6' 3'',6' 4.5'',8' 5'',198.4,6' 7'',2010
Keith Gallon,PF-C,13.44,DNE,3.7,23.5,28.5,15.10%,9.25,10.5,6' 8.5'',6' 9.5'',9' 1.5'',301.8,7' 4.5'',2010
Lance Stephenson,SG,11.39,DNE,3.38,27,33,9.30%,9,10.25,6' 4.5'',6' 5.75'',8' 7'',227,6' 10.5'',2010
Larry Sanders,PF-C,12.49,DNE,3.27,25.5,28,4.60%,9.75,11,6' 9.25'',6' 10.5'',9' 4'',222.4,7' 5.75'',2010
Lazar Hayward,SG-SF,10.87,DNE,3.31,31,36,7.50%,9.25,9.5,6' 4.5'',6' 5.75'',8' 6'',225.8,7' 0.75'',2010
Luke Babbitt,SF-PF,10.98,DNE,3.4,29.5,37.5,5.60%,8.5,10,6' 7.5'',6' 8.75'',8' 8.5'',217.8,6' 11.25'',2010
Luke Harangody,PF,11.83,DNE,3.41,24,28.5,11.10%,8.75,9.75,6' 6'',6' 7.75'',8' 10'',240.2,6' 9.5'',2010
Manny Harris,SG,-,DNE,-,-,-,3.80%,8.5,9,6' 4'',6' 5.5'',8' 6'',185.1,6' 7.25'',2010
Mikhail Torrance,PG,11.43,DNE,3.17,23,32,7.00%,8.75,9.5,6' 4'',6' 5'',8' 7'',208.8,6' 7.5'',2010
Patrick Patterson,PF,11.14,DNE,3.25,28.5,33.5,5.30%,9.25,10.25,6' 8'',6' 9.25'',8' 11'',239.6,7' 1.25'',2010
Paul George,SF,-,DNE,-,-,-,5.00%,8.5,9,6' 7.75'',6' 8.75'',8' 11'',214.4,6' 11.25'',2010
Ryan Richards,PF,11.33,DNE,3.37,25,28.5,8.00%,9,9.75,6' 10.5'',6' 11.75'',9' 2'',230.2,7' 1.5'',2010
Sherron Collins,PG,12.31,DNE,3.24,27.5,33,9.20%,8.5,9.5,5' 10.25'',5' 11.75'',7' 10'',217.2,6' 2.5'',2010
Solomon Alabi,C,13.2,DNE,3.68,22.5,26,5.00%,9.25,9.25,6' 11.5'',7' 0.75'',9' 5'',237.4,7' 5'',2010
Stanley Robinson,SF,11.65,DNE,3.23,-,37.5,8.30%,9,9,6' 6.5'',6' 7.75'',8' 11.5'',213.2,7' 0'',2010
Sylven Landesberg,SG,11.59,DNE,3.36,28,32,11.60%,8.75,10.75,6' 4.75'',6' 6.25'',8' 4.5'',210,6' 9'',2010
Terrico White,SG-PG,11.38,DNE,3.15,31,40,3.70%,9,10.5,6' 3.75'',6' 5'',8' 5'',202.6,6' 9'',2010
Trevor Booker,PF,11.15,DNE,3.1,31,36,7.30%,9,9.5,6' 6.25'',6' 7.5'',8' 10'',235.8,6' 9.75'',2010
Wesley Johnson,SF,11.43,DNE,3.14,32,37,4.60%,9,9.5,6' 6.25'',6' 7.25'',8' 10'',206.4,7' 1'',2010
Willie Warren,SG-PG,11.21,DNE,3.5,23,31.5,7.60%,8.5,9.5,6' 2.5'',6' 3.75'',8' 3.5'',208.4,6' 6'',2010
